original_index,ocsvm_score,ocsvm_prediction,severity_unified_original,severity_unified_binary
231,0.2336845197698576,normal,-,0
232,0.3167133949842018,normal,-,0
233,0.3167133949842018,normal,-,0
234,0.10541200613081081,normal,-,0
235,0.28040088738376134,normal,-,0
236,0.3481217132449004,normal,-,0
237,1.5998243907572824,normal,-,0
238,0.622701859931917,normal,-,0
239,0.8534797408101618,normal,-,0
240,-0.08979986673170792,abnormal,-,0
241,0.2733497059531089,normal,-,0
242,1.033886568029878,normal,-,0
243,0.9173246388770284,normal,-,0
244,0.5753716795718784,normal,-,0
245,0.13287538220229145,normal,-,0
246,1.1858099391681254,normal,-,0
247,1.0991203707546653,normal,-,0
248,1.1858099391681254,normal,-,0
249,0.46046792944403236,normal,-,0
250,0.5386947151068036,normal,-,0
251,0.9091995465345573,normal,-,0
252,-0.0003154925003858722,abnormal,-,0
253,0.7599342307078025,normal,-,0
254,0.0006310933399102936,normal,-,0
255,0.8544780391835065,normal,-,0
256,0.28401563912249017,normal,-,0
257,0.19603721860376133,normal,-,0
258,0.23513481343372433,normal,-,0
259,0.23926384378885857,normal,-,0
260,0.3416043648927811,normal,-,0
261,0.5514848204571994,normal,-,0
262,0.5369235050952348,normal,-,0
263,0.48335334341537006,normal,-,0
264,0.4942802440004801,normal,-,0
265,0.23101603058998776,normal,-,0
266,0.520826002357591,normal,-,0
267,0.5143386851996237,normal,-,0
268,-0.016792977361307138,abnormal,-,0
269,-0.031243037521873518,abnormal,Error,1
270,0.6925652293018825,normal,info,0
271,0.4830525835493642,normal,info,0
272,1.183853775167707,normal,information,0
273,-8.551180412119663e-05,abnormal,information,0
274,-2.522435952093937,abnormal,info,0
275,-2.653716878878053,abnormal,info,0
276,-1.6303425417278135,abnormal,info,0
277,-1.2307897396368617e-05,abnormal,information,0
278,0.7890748311322859,normal,information,0
279,1.2631609551161063,normal,information,0
280,1.2291352786843195,normal,information,0
281,0.9871496591360867,normal,information,0
282,0.00020679674123336156,normal,info,0
283,0.020942277416073907,normal,Error,1
284,0.3749634402930049,normal,information,0
285,0.44837738785413883,normal,information,0
286,-0.0440435559644321,abnormal,information,0
287,0.08222591081212727,normal,information,0
288,0.6381775750948542,normal,information,0
289,0.5828393249590835,normal,information,0
290,0.08222591081212727,normal,information,0
291,0.4056181377766723,normal,information,0
292,0.8183918357824709,normal,info,0
293,0.7050918376449857,normal,info,0
294,0.4398862118879254,normal,information,0
295,1.0961992442010136,normal,info,0
296,0.9124534188761135,normal,info,0
297,0.4398862118879254,normal,information,0
298,0.23584527219641416,normal,information,0
299,0.9411434051964154,normal,info,0
300,0.5017543075294952,normal,info,0
301,0.4078438677129679,normal,information,0
302,0.35187052131281327,normal,info,0
303,-9.600616060545519e-05,abnormal,info,0
304,1.1288826383817394,normal,information,0
