original_index,if_score,if_prediction,severity_unified_original,severity_unified_binary
0,-0.058001218161828016,abnormal,Error,1
1,0.09554156987386697,normal,info,0
2,0.09073719982964956,normal,info,0
3,0.08047141597899926,normal,information,0
4,0.014876628086829324,normal,info,0
5,0.03815644898569831,normal,info,0
6,0.04240472190902839,normal,info,0
7,0.09620583873800387,normal,information,0
8,0.08869314699871517,normal,info,0
9,0.03786091339699943,normal,information,0
10,0.010484434685922306,normal,information,0
11,0.03786091339699943,normal,information,0
12,-0.07652125370288321,abnormal,information,0
13,-0.003564534955387222,abnormal,information,0
14,0.0516812153771774,normal,information,0
15,0.09620583873800387,normal,information,0
16,0.10356065240463957,normal,info,0
17,0.09606942619301034,normal,info,0
18,0.05739472297948056,normal,information,0
19,0.0450421982876571,normal,info,0
20,0.07598375311294508,normal,info,0
21,0.07496913832762842,normal,info,0
22,0.09620583873800387,normal,information,0
23,-0.011604941523855605,abnormal,information,0
24,-0.3394170168032924,abnormal,information,0
25,-0.0344705415469867,abnormal,information,0
26,0.035655261584857934,normal,info,0
27,0.03722523820363388,normal,info,0
28,-0.24587214067906704,abnormal,notification,0
29,0.06724195318479892,normal,info,0
30,0.0776009142561393,normal,info,0
31,0.09620583873800387,normal,information,0
32,0.027061698590491123,normal,info,0
33,0.08817996761593616,normal,info,0
34,0.09317249071311595,normal,info,0
35,0.07401742458035293,normal,information,0
36,0.14318886701473582,normal,-,0
37,0.14493045614326988,normal,-,0
38,0.1572830381899311,normal,-,0
39,0.16191435980223912,normal,-,0
40,0.15513434091705358,normal,-,0
41,0.1601493439528392,normal,-,0
42,0.16251607417290487,normal,-,0
43,0.1575191153368291,normal,-,0
44,0.14686629056164874,normal,-,0
45,0.1676059680042266,normal,-,0
46,0.16251607417290487,normal,-,0
47,0.15501151562834553,normal,-,0
48,0.1601493439528392,normal,-,0
49,0.1601493439528392,normal,-,0
50,0.16251607417290487,normal,-,0
51,0.15298979934548035,normal,-,0
52,0.14182116605754647,normal,-,0
53,0.16122444966096378,normal,-,0
54,0.1676059680042266,normal,-,0
55,0.1676059680042266,normal,-,0
56,0.1621721496394527,normal,-,0
57,0.16251607417290487,normal,-,0
58,0.16142027126143393,normal,-,0
59,0.16163097754924644,normal,-,0
60,0.14938087928424099,normal,-,0
61,0.1621721496394527,normal,-,0
62,0.1676059680042266,normal,-,0
63,0.16251607417290487,normal,-,0
64,0.16572993027814237,normal,-,0
65,0.1674739808285569,normal,-,0
66,0.15199057038274288,normal,-,0
67,0.15534493026749435,normal,-,0
68,0.1674739808285569,normal,-,0
69,0.15778480618948093,normal,-,0
70,0.16834804456826308,normal,-,0
71,0.1639011700151055,normal,-,0
72,0.15662616299426035,normal,-,0
73,0.16508862664834478,normal,-,0
74,0.16230440559970138,normal,-,0
75,0.14899379597890294,normal,-,0
76,0.16065065346970475,normal,-,0
77,0.15291945003960827,normal,-,0
78,0.1697365175479536,normal,-,0
79,0.1697365175479536,normal,-,0
80,0.14775395300708527,normal,-,0
81,0.16536308003443562,normal,-,0
82,0.14975630282086294,normal,-,0
83,0.16508862664834478,normal,-,0
84,0.1667085791572926,normal,-,0
85,0.16579728941614447,normal,-,0
86,0.16579728941614447,normal,-,0
87,0.16929043839606583,normal,-,0
88,0.16508862664834478,normal,-,0
89,0.14130131722664668,normal,-,0
90,0.1325218051639238,normal,-,0
91,0.14350655911690602,normal,-,0
92,0.12889737058612039,normal,-,0
93,0.10923751999195214,normal,-,0
